pattern,raw_json_replies
ABABC,"[('1531331029394501634', '@ColesCowboys @Cowboys_FanTalk yeah i was being sarcastic lol', 'paydakprescott4|1261196994493788161', '2022-05-30T17:45:42.000Z'), ('1531329867886825475', '@paydakprescott4 @Cowboys_FanTalk He had dhop', 'ColesCowboys|1306678261355814914', '2022-05-30T17:41:05.000Z'), ('1531329737108365313', '@ColesCowboys @Cowboys_FanTalk come on man don’t you know. dak has hall of famers at every position so he can’t lose! while watson has 0 help. he carries a bunch of scrubs!!!', 'paydakprescott4|1261196994493788161', '2022-05-30T17:40:34.000Z'), ('1531268406942523394', '@Cowboys_FanTalk This the funny thing about ranking qbs they wanna crown Watson as elite but he’s 1-2 in the playoffs then they wanna switch it up and say his stats are better than daks lol so are we going off stats? In season wins? Or playoff wins? Same things about Herbert they crowned him too', 'ColesCowboys|1306678261355814914', '2022-05-30T13:36:52.000Z'), ('1531254563759702021', 'This is the official QB records vs winning teams it’s a couple guys on here y’all love say are way better than Dak with loosing records 👀\n\nRodgers: 42-44\nMahommes: 17-11\nStafford: 12-72\nWilson: 36-32\nHerbert: 6-10\nAllen: 12-15\nBurrow: 8-10\nJackson: 13-9 \nWatson: 7-19 \nDak: 18-24 https://t.co/lF9p3jnpbT', 'Cowboys_FanTalk|1293327270032093184', '2022-05-30T12:41:51.000Z')]"
ABA,"[('1531341897469349888', '@lorenhalefuxks i was being sarcastic', 'januaryguslomls|1431538586466332674', '2022-05-30T18:28:53.000Z'), ('1531341470413664256', '@lilycalloway24 i know but thanks for the reminder &lt;33', 'lorenhalefuxks|1504032099375800323', '2022-05-30T18:27:12.000Z'), ('1531339757883600896', 'Awww you are the best&lt;3 https://t.co/bl0OjgUBzw', 'januaryguslomls|1431538586466332674', '2022-05-30T18:20:23.000Z')]"
AB,"[('1531341639368642562', '@TheGoodLiars 😂 that fact people didn’t know you were being sarcastic is gold!', 'jtsalas10|3713268920', '2022-05-30T18:27:52.000Z'), ('1531019935308304386', 'We spoke directly to Wayne LaPierre at the NRA Convention and thanked him for all his thoughts and prayers. https://t.co/EfdDrgD4Af', 'TheGoodLiars|1322678960', '2022-05-29T21:09:32.000Z')]"
AB,"[('1531341619173109761', ""@Divamanda23 I assume they're being sarcastic, which works for me."", 'Raaawb|16890835', '2022-05-30T18:27:47.000Z'), ('1531113352243474433', 'What is your initial thought when someone refers to themselves as a patriot?', 'Divamanda23|14304553', '2022-05-30T03:20:44.000Z')]"
AB,"[('1531339796563509255', '@Angry_Staffer This was sarcasm right?\n\nWhat did I just watch?\n\nWhat the hell is he talking about?\n\nThoughts and prayers. Prayers and thoughts?\n\nIs that a joke?\n\nSomeone tell me he was being sarcastic.\n\n?', 'LivesChanger|1495517203516604420', '2022-05-30T18:20:33.000Z'), ('1531277864900894721', 'This is fantastic. 🤣🤣 https://t.co/VtZkpp6dg3', 'Angry_Staffer|848148994102611969', '2022-05-30T14:14:27.000Z')]"
ABABABAC,"[('1531339581571772417', '@LetterkennyLuv @ReneeAlida Oh, ok! She ended her tweet with “thanks Joe Biden.” I felt like she was blaming the President and I’ll defend this man because I really like him. So, I was just being sarcastic and now I feel bad cuz she thinks my dog is cute, he’s my sweetie pie.Anyway, thanks for the reminder!', 'Makana051|1245122598859497472', '2022-05-30T18:19:41.000Z'), ('1531337390022766592', '@Makana051 @ReneeAlida You told her to fart in a gas tank. I honestly don’t understand what you were getting at. It makes zero sense. But also glad you’re okay. I stopped having wine with dinner after my BC diagnosis. But my college years are likely to blame. Just don’t want a recurrent', 'LetterkennyLuv|14247025', '2022-05-30T18:10:59.000Z'), ('1531333321484955648', '@LetterkennyLuv @ReneeAlida The reason I don’t drink anymore is I had a stroke and take medication that doesn’t quite do well with alcohol.  But I was never a heavy drinker anyway.  I have memory loss because of the stroke, so if you want an explanation, remind me what I said and I’ll get back to you.🐶', 'Makana051|1245122598859497472', '2022-05-30T17:54:49.000Z'), ('1531307939431993345', '@Makana051 @ReneeAlida Naw, I was just trying to make sense of why you tweeted what you did. Just going for a logical explanation. And good for you for not drinking. Even one drink a day increases your chances of getting breast cancer.', 'LetterkennyLuv|14247025', '2022-05-30T16:13:57.000Z'), ('1531196190154362880', '@LetterkennyLuv @ReneeAlida I don’t drink alcohol, haven’t had any liquor in over 11 years and proud of it.  You go ahead if you need a drink.', 'Makana051|1245122598859497472', '2022-05-30T08:49:54.000Z'), ('1531193932478001153', '@Makana051 @ReneeAlida Ummm, what? Serious question, are you drunk right now?', 'LetterkennyLuv|14247025', '2022-05-30T08:40:56.000Z'), ('1531074572388548608', '@ReneeAlida WTF are you talking about?  Why don’t you go to the UK and fart in some gas tanks!', 'Makana051|1245122598859497472', '2022-05-30T00:46:38.000Z'), ('1530985849428578310', 'Gas prices are $9 in the United Kingdom.\nThanks Joe Biden!', 'ReneeAlida|1306646638979624960', '2022-05-29T18:54:05.000Z')]"
AB,"[('1531338502964649986', ""@JustMeRachel_ Not sure if you're being sarcastic or not..\n\nBut just encase, don't forget about CB's potential for bankruptcy means anything they hold of others also dissapears.\n\nProbably won't, but I figured I'd mention it encase you missed the memo fam.\n\nI'm going to wait for @FlareNetworks"", 'NonchalantRogue|1171289457040842753', '2022-05-30T18:15:24.000Z'), ('1531210585836204039', ""Sucks I have to move my $ALGO back to CB, can't pass up 5.75%"", 'JustMeRachel_|1458287949737381889', '2022-05-30T09:47:06.000Z')]"
AB,"[('1531338045533872128', ""@ROfficial_ 🤣🤣🤣🤣You should know me by now...I was being sarcastic. I was pointing out the reverse psychology that I picked up on in Sam's comment and found it incredibly hilarious 😂 BUT you're completely correct..I couldn't get a GOOD GAWD DAMN abt what makes ANY Hoegan happy! 😉👩🏽\u200d⚖️🤣🤣"", 'CancanDaGr8|1457254993212452867', '2022-05-30T18:13:35.000Z'), ('1531336783560073218', 'I don’t give a damn about Hope and her happiness. That’s for her and her mother to go back and forth with along with her open marriage that she keeps letting Brooke have her say in. If Hope was grown she would tell her mother to stay out of it #BoldandBeautiful. https://t.co/DXyNhzJ46M', 'ROfficial_|3511679667', '2022-05-30T18:08:34.000Z')]"
ABC,"[('1531337362097115136', '@skazan @fred_guttenberg At $45 a membership, just one million sarcastic new members would add $45 million to their coffers. Hope you were being sarcastic too.', 'whisper2world|1368706874', '2022-05-30T18:10:52.000Z'), ('1531269417245544448', '@fred_guttenberg Join the nra… by the millions. Attend a meeting and call for more education. And when you have a majority, vote to change the bylaws and vote out the leadership.  “I am a member of the nra and I vote… for gun safety.”', 'skazan|9615542', '2022-05-30T13:40:53.000Z'), ('1531251980705882112', 'This is absolutely brilliant.  This guy thanked Wayne LaPierre for all of his ""thoughts and prayers.""  A must watch. https://t.co/fhcPBcaLLc', 'fred_guttenberg|967027984426242053', '2022-05-30T12:31:36.000Z')]"
ABABA,"[('1531336883447398400', '@Lupus_Rex_08 I am not supporting you😭💀, I was being sarcastic with my comment. \n\nThis people just dont hire fools no matter how incompetent you think they are. Like you said, they cannot just give the keys to a cinematic universe to someone that is incompetent.', 'Not_Bakasta|1346153579984400387', '2022-05-30T18:08:58.000Z'), ('1531336146399133698', ""@Not_Bakasta Never understood it because Zack's track record up until man of steel was well lacking, to say the least. Apparently, he's friends with Nolan so maybe he got the gig through them."", 'Lupus_Rex_08|1212197808821788672', '2022-05-30T18:06:02.000Z'), ('1531326838932480001', ""@Lupus_Rex_08 Yes that could be the case but a big corporation hiring a guy that doesn't understand two of their biggest superheroes seems wild."", 'Not_Bakasta|1346153579984400387', '2022-05-30T17:29:03.000Z'), ('1531320874393030656', ""@Not_Bakasta Just because they hired him doesn't mean he's necessarily a good writer."", 'Lupus_Rex_08|1212197808821788672', '2022-05-30T17:05:21.000Z'), ('1531312223557132290', ""Wish they let Zack Snyder tell the entire story he planned because it is definitely wild to say a producer/writer warner bros hired to spearhead a cinematic universe doesn't understand his two main characters💀"", 'Not_Bakasta|1346153579984400387', '2022-05-30T16:30:59.000Z')]"
